345140400,2022-01-04T21:08:24,31.84408,-116.61658,0.0,289.0,76.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:36:55,31.84409,-116.61659,0.1,305.4,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T19:00:24,31.84410,-116.61662,0.1,278.7,511.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:12:04,31.84407,-116.61657,0.2,301.0,76.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:56:04,31.84411,-116.61658,0.0,338.0,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:22:45,31.84409,-116.61656,0.0,275.6,73.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T19:17:35,31.84411,-116.61660,0.0,266.3,159.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:20:44,31.84408,-116.61656,0.1,283.3,73.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:24:45,31.84409,-116.61655,0.1,288.4,72.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:39:45,31.84408,-116.61656,0.1,313.9,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T20:45:34,31.84411,-116.61656,0.0,318.0,70.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:34:24,31.84408,-116.61657,0.1,319.8,70.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:45:03,31.84409,-116.61657,0.0,347.5,68.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:35:44,31.84408,-116.61659,0.1,317.2,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:31:24,31.84410,-116.61657,0.1,323.2,70.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:57:35,31.84411,-116.61658,0.1,323.7,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T23:59:43,31.84411,-116.61658,0.0,330.0,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T23:59:05,31.84410,-116.61658,0.0,351.2,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:46:44,31.84410,-116.61658,0.1,351.9,68.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:43:45,31.84408,-116.61658,0.1,328.0,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:53:24,31.84409,-116.61658,0.1,356.0,68.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:54:44,31.84409,-116.61658,0.1,335.9,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:16:24,31.84407,-116.61658,0.0,286.7,74.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T22:01:25,31.84410,-116.61658,0.0,346.2,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T19:57:05,31.84409,-116.61658,0.1,241.0,117.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:42:24,31.84408,-116.61658,0.0,317.7,69.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T21:49:05,31.84409,-116.61659,0.0,338.5,68.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T20:30:24,31.84412,-116.61655,0.0,285.0,61.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T20:34:54,31.84411,-116.61656,0.0,299.3,63.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
345140400,2022-01-04T20:36:44,31.84412,-116.61656,0.0,280.7,64.0,GOLFA;III,IMO8821747,XCSI2,80,15,100,17,0.0,80,A
