312566000,2022-01-01T02:19:00,31.68791,-116.83447,7.4,177.7,180.0,,,,,8,,,,,A
312566000,2022-01-01T02:39:38,31.64201,-116.83359,8.0,177.7,179.0,,,,,8,,,,,A
312566000,2022-01-01T02:44:12,31.63116,-116.83352,8.5,180.5,179.0,,,,,8,,,,,A
312566000,2022-01-01T02:41:38,31.63716,-116.83361,8.8,180.8,181.0,,,,,8,,,,,A
312566000,2022-01-01T02:46:20,31.62595,-116.83339,8.4,177.8,178.0,,,,,8,,,,,A
312566000,2022-01-01T03:00:29,31.59295,-116.83325,7.4,182.3,180.0,,,,,8,,,,,A
312566000,2022-01-01T03:38:38,31.51133,-116.83229,8.3,176.6,181.0,,,,,8,,,,,A
312566000,2022-01-01T03:33:38,31.52239,-116.83268,8.1,175.2,176.0,,,,,8,,,,,A
312566000,2022-01-01T03:41:38,31.50408,-116.83221,8.7,176.3,186.0,,,,,8,,,,,A
312566000,2022-01-01T04:22:58,31.41036,-116.82884,8.4,178.1,175.0,,,,,8,,,,,A
312566000,2022-01-01T04:38:26,31.37508,-116.82422,7.0,166.0,163.0,,,,,8,,,,,A
312566000,2022-01-01T04:50:48,31.34849,-116.82125,8.8,178.0,178.0,,,,,8,,,,,A
312566000,2022-01-01T05:46:59,31.22882,-116.80897,7.6,176.1,175.0,,,,,8,,,,,A
312566000,2022-01-01T06:58:19,31.06400,-116.78421,9.1,163.4,164.0,,,,,8,,,,,A
312566000,2022-01-01T06:56:58,31.06724,-116.78524,9.1,161.8,166.0,,,,,8,,,,,A
