367151450,2022-01-01T00:51:55,29.36185,-94.77977,0.0,314.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:57:44,29.36188,-94.77980,0.0,337.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:58:53,29.36190,-94.77975,0.0,10.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:54:14,29.36190,-94.77975,0.0,310.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:04:35,29.36190,-94.77979,0.0,100.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:05:45,29.36191,-94.77980,0.0,97.3,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:55:25,29.36190,-94.77978,0.0,310.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:06:55,29.36189,-94.77977,0.0,92.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:03:23,29.36186,-94.77981,0.0,100.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:08:03,29.36153,-94.77998,4.3,206.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:35:33,29.33862,-94.77436,10.1,354.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:09:14,29.35964,-94.78052,6.8,182.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:11:24,29.35517,-94.78024,7.2,152.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:02:14,29.36189,-94.77979,0.0,119.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:40:15,29.34969,-94.77857,5.6,336.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:10:23,29.35720,-94.78077,7.8,178.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:16:24,29.34473,-94.77403,9.3,152.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:42:35,29.35259,-94.78000,3.2,331.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:12:35,29.35309,-94.77886,7.5,144.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:15:15,29.34745,-94.77544,9.3,160.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:24:35,29.32809,-94.77378,1.5,130.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:22:14,29.33059,-94.77524,7.5,189.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:25:43,29.32796,-94.77362,0.0,134.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:18:45,29.33883,-94.77220,10.5,199.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:23:25,29.32870,-94.77450,4.0,140.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:21:05,29.33323,-94.77437,8.8,195.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:28:05,29.32794,-94.77359,0.0,145.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:19:54,29.33604,-94.77335,8.5,199.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:29:14,29.32826,-94.77394,3.3,313.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:33:14,29.32896,-94.77328,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:26:55,29.32796,-94.77361,0.0,145.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:30:55,29.32910,-94.77409,0.7,208.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:32:05,29.32899,-94.77341,1.6,96.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:53:05,29.36186,-94.77978,0.0,310.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:34:23,29.32896,-94.77326,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:37:55,29.32898,-94.77328,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:35:34,29.32899,-94.77327,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T00:56:35,29.36189,-94.77980,0.0,310.6,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:36:45,29.32898,-94.77329,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:39:04,29.32898,-94.77329,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:42:25,29.32897,-94.77326,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:40:14,29.32899,-94.77331,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:41:23,29.32898,-94.77328,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T01:49:40,29.32894,-94.77329,0.0,95.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T01:46:40,29.32898,-94.77326,0.0,100.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T01:52:41,29.32894,-94.77326,0.0,95.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T01:58:42,29.32896,-94.77323,0.0,87.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T01:55:41,29.32895,-94.77327,0.0,87.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:04:41,29.32893,-94.77327,0.0,74.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:07:37,29.32896,-94.77328,0.0,74.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:13:36,29.32894,-94.77330,0.0,45.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:01:42,29.32893,-94.77323,0.0,87.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:10:40,29.32894,-94.77330,0.0,74.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:16:39,29.32895,-94.77326,0.0,45.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:22:37,29.32898,-94.77334,0.0,45.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T01:14:04,29.35022,-94.77675,8.8,153.5,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T02:19:39,29.32896,-94.77329,0.0,45.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:40:39,29.32895,-94.77327,0.0,40.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T01:17:35,29.34198,-94.77223,9.8,152.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T02:37:40,29.32897,-94.77326,0.0,40.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:28:40,29.32895,-94.77326,0.0,40.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:31:41,29.32895,-94.77330,0.0,40.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:49:40,29.32896,-94.77329,0.0,63.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:58:43,29.32893,-94.77330,0.0,78.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:46:36,29.32896,-94.77324,0.0,59.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T02:55:42,29.32890,-94.77329,0.0,78.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:04:44,29.32895,-94.77325,0.0,83.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:25:45,29.32893,-94.77330,0.0,344.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:19:45,29.32891,-94.77329,0.0,154.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T01:43:35,29.32897,-94.77331,0.0,105.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,0,80,19,,60,A
367151450,2022-01-01T03:22:43,29.32890,-94.77328,0.0,143.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:28:42,29.32895,-94.77327,0.0,335.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:31:37,29.32893,-94.77330,0.0,326.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:43:42,29.32895,-94.77326,0.0,337.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:49:37,29.32895,-94.77324,0.0,341.0,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:37:41,29.32897,-94.77328,0.0,329.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
367151450,2022-01-01T03:40:37,29.32896,-94.77329,0.0,337.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,,60,A
